gender, city, country, favLang, spokenLang, tbd, tbd
m,New Delhi,India,swift,hindi,[object Object],[object Object]
m,London,England,Ruby,English,[object Object],[object Object]
m,Dhaka,Bangladesh,JavaScript,Bangla,[object Object],[object Object]
f,Vancouver,Canada,python,english,[object Object],[object Object]
m,"Nanded, Pune",India,Javascript,Hindi,[object Object],[object Object]
m,Espoo,Helsinki,Javascript,Nepali,[object Object],[object Object]
na,Worcester,United States,Go,English,[object Object],[object Object]
m,Glasgow,United Kingdom,Javascript,English,[object Object],[object Object]
m,Bhubaneswar,India,Java,Bengali,[object Object],[object Object]
m,Bengaluru,India,C#,Malayalam,[object Object],[object Object]
m,New Delhi,India,Python,Hindi,[object Object],[object Object]
m,Chennai,India,JAVA,Tamil,[object Object],[object Object]
m,Allahabad,India,Python,hindi,[object Object],[object Object]
m,Pune,India,JavaScript,Marathi,[object Object],[object Object]
m,Dublin,CA,JS,English,[object Object],[object Object]
m,Seattle,USA,Javascript - NodeJS,English,[object Object],[object Object]
m,Burlington,Canada,Rust <rust-lang.org>,English,[object Object],[object Object]
m,Vienna,Austria,Java,German,[object Object],[object Object]
m,Putnam Valley,USA,Javascript,English,[object Object],[object Object]
m,Bhopal,India,Java,Hindi,[object Object],[object Object]
m,Columbus,USA,Ruby,English,[object Object],[object Object]
m,Granada,Spain,ECMAScript 6,Spanish,[object Object],[object Object]
m,Split,Croatia,PHP,croatian,[object Object],[object Object]
m,London,United Kingdom,Python,Arabic,[object Object],[object Object]
m,Parnaíba,Brasil,C++,Portuguese,[object Object],[object Object]
m,Bursa,Turkey,C++,turkish,[object Object],[object Object]
m,Hortolândia,São Paulo,PHP,Brazilian Portuguese,[object Object],[object Object]
m,Vadodara,India,JavaScript,hindi,[object Object],[object Object]
m,San Vicente,El Salvador,JavaScript,Spanish,[object Object],[object Object]
m,Yogyakarta,Indonesia,Javascript,Indonesia,[object Object],[object Object]
f,Bengaluru,India,C,English,[object Object],[object Object]
m,Colombo,Sri Lanka,java,Sinhala,[object Object],[object Object]
m,Wroclaw,Poland,Java,Polish,[object Object],[object Object]
f,Portland,USA,C++,English,[object Object],[object Object]
f,Vancouver,Canada,python,english,[object Object],[object Object]
f,Amsterdam,Netherland,Java,Danish,[object Object],[object Object]
m,Mexico City,Mexico,Kotlin,Spanish,[object Object],[object Object]
na,Baton Rouge,United States,c++,English,[object Object],[object Object]
m,London,UK,Ruby,English,[object Object],[object Object]
m,Nittambuwa,Sri Lanka,PHP,sinhala,[object Object],[object Object]
m,New York,United States,C,english,[object Object],[object Object]
f,Zagreb,Croatia,Java,Croatian,[object Object],[object Object]
m,Brasília,Brazil,javascript,brazilian portuguese,[object Object],[object Object]
f,Munich,Germany,swift,albanian,[object Object],[object Object]
m,Montreal,Canada,ES6,French,[object Object],[object Object]
m,Los Angeles,USA,bash,English,[object Object],[object Object]
m,Toronto,Canada,python,English,[object Object],[object Object]
m,Los Angeles,USA,Go,English,[object Object],[object Object]
m,Bonn,Germany,python,German,[object Object],[object Object]
m,Weligama,Sri Lanka,Java,Tamil,[object Object],[object Object]
m,Stord,Norway,Python,Norwegian,[object Object],[object Object]
m,Waterloo,United States,Python,American,[object Object],[object Object]
m,Anuradhapura,Sri Lanka,Actionscript,Sinhala,[object Object],[object Object]
m,Ghaziabad,India,python,hindi,[object Object],[object Object]
m,Parnaíba,Brazil,Python,Portuguese,[object Object],[object Object]
m,Vancouver,Canada,Python,English,[object Object],[object Object]
m,Colombo,Sri Lanka,javascript,Sinhala,[object Object],[object Object]
m,Kochi ,India,swift,hindi,[object Object],[object Object]
f,Edwardsville,USA,python,English,[object Object],[object Object]
f,Shinjuku,Japan,Python,English,[object Object],[object Object]
m,Saint Petersburg,Russian Federation,Python,Russian,[object Object],[object Object]
m,Mumbai,India,Python,Hindi,[object Object],[object Object]
f,Irvine,United States of America,Python,English,[object Object],[object Object]